,Core,Rim,Inv,Neg,Pos
NDUFA12,8.036130046,8.072116439,8.165681684,7.92840332,6.514298235
NDUFA3,0,0,0,0,0
NDUFA4,8.918586534,8.938953413,9.247697602,8.646187932,7.019616358
NDUFA5,6.739342798,6.658067492,6.927607048,5.399871927,4.326012859
NDUFA6,0.219963108,0.124928107,0.247298695,0.125065482,0.167259888
NDUFA7,7.789220219,7.91439132,7.709986597,7.637572877,8.436241631
NDUFA8,7.887399046,7.953032396,8.057409087,6.990739754,5.866615442
NDUFA9,6.845593989,6.863178347,6.767698125,5.71641516,4.875310584
NDUFAB1,8.332410149,8.428330188,8.41706767,7.774023167,5.825803863
NDUFAF1,5.909023865,5.992525618,6.123383445,4.324565482,4.545075697
NDUFAF2,6.356995134,6.314892423,6.144215426,5.467474088,4.330360731
NDUFAF4,5.389367093,5.468799449,5.677856078,4.257350136,3.448371242
NDUFAF5,4.687768796,4.688274659,4.884168281,3.501512988,3.418538232
NDUFAF7,5.002462376,4.970002533,5.003030733,3.295282552,2.481054466
NDUFAF8,7.842324715,7.972414651,8.083725689,7.748935128,5.590661977
NDUFB1,7.96814813,8.042381869,8.250477657,9.612351616,7.547895416
NDUFB10,8.399596438,8.453011695,8.57110633,8.651831638,6.09542813
NDUFB3,7.496120041,7.541124876,7.549159498,7.292715567,5.447415529
NDUFB4,7.795304042,7.816830068,7.819970974,7.302863063,7.008678716
NDUFB5,8.606513126,8.615402024,8.453372469,7.430015189,6.621312756
NDUFB7,9.070079548,9.1950301,9.175737784,8.902980159,8.721881148
NDUFS1,6.600614621,6.572324559,6.841296227,4.385213894,4.113617966
NDUFS2,7.593505818,7.613240982,7.718770355,6.472814801,6.067741844
NDUFS4,8.011860407,7.969506743,7.889299741,7.115138059,5.266261126
NDUFS5,9.610874193,9.639860768,9.579330255,9.324117575,7.81456122
NDUFS6,8.910792721,8.960290639,8.771822244,8.483486407,7.505399207
NDUFS7,6.775899413,6.925123024,7.081877326,6.43892076,6.860631981
NDUFV1,8.259516158,8.350402463,8.542062353,6.826051624,7.266000927
NDUFV2,8.262897647,8.263124927,8.199556963,7.409025765,5.667427268
NDUFV3,5.840535916,5.839107918,5.823767863,6.3281069,4.961514688
NECAB2,3.508813098,3.875055305,4.753261626,3.292470097,1.619761524
NECAP1,6.746573847,6.802236812,7.144313952,4.682749103,5.450202724
NECAP2,7.367504383,7.369679472,7.052932165,6.034871176,5.13290305
NECTIN1,5.038398855,5.375959818,5.98717537,4.965760722,3.653455986
NECTIN2,6.146978885,6.336961638,5.625849466,4.783164806,4.952510227
NECTIN3,4.329503288,4.10426122,4.225372362,3.073056165,2.111570319
NECTIN3-AS1,1.07516874,1.118822796,1.453599624,0.452981044,0.437717182
NECTIN4,0.787447061,0.888394976,0.266535224,0.233089467,0.634629114
NEDD1,5.095283556,4.855984261,4.574957537,2.942064118,1.940766859
NEDD4,4.009786721,3.941854973,3.565856566,2.03294505,2.155244145
NEDD4L,4.429150323,4.262463782,4.446555662,2.730658853,3.138960319
NEDD9,5.398962266,5.52120032,5.073145266,5.084912805,5.8104001
NEFH,2.801668772,3.743382884,4.597559795,2.20007182,2.791616726
NEFL,4.237288561,4.678110465,5.6931969,1.775834616,1.438513047
NEFM,3.297414761,3.99710785,5.825950777,2.751825254,2.220830944
NEIL2,6.125842102,6.262912686,6.243154505,4.253072397,4.368753885
NEIL3,2.187213147,2.094684677,1.754558535,1.320344064,1.397594111
NEK1,5.067739407,5.038652508,5.254912743,3.579852654,3.048013648
NEK10,1.07529106,1.133957852,1.183517076,0.76676098,1.100812985
NEK2,3.19122282,2.983198708,2.514771868,2.229165984,1.313799442
NEK3,4.271502252,4.447399267,4.746974275,2.743654498,3.477850744
NEK4,5.909972074,5.819342895,5.808000138,4.153378116,2.641697699
NEK5,1.447999544,1.22454332,1.541104491,0.17387708,0.369918796
NEK6,7.165252566,7.323325714,6.626407922,5.059957247,4.948407306
NEK7,6.459935604,6.26526442,6.543720522,4.808981185,4.122216978
NEK8,3.153587461,3.037981025,3.080576125,1.564868337,1.174892287
NEK9,6.372955802,6.276305374,6.485482134,4.408429174,4.354334597
NELFB,7.584464895,7.56175317,7.499263973,6.749710664,5.012986725
NELFCD,7.202353822,7.155476644,7.195913372,6.200266505,4.600244899
NELL1,1.657234436,1.887595702,2.136276693,0.519243698,0.513772233
NELL2,4.99138112,5.069670162,5.932265826,2.757844169,2.386210261
NEMP1,5.2707638,5.132841373,4.779940371,3.136509427,3.883430902
NEMP2,2.843669495,2.77270358,2.839734823,2.119543868,1.774804493
NENF,7.978887636,8.11371447,8.228757892,7.681076046,6.024245528
NEO1,6.084420913,6.144065859,6.5609318,4.174116988,3.283288429
NEPRO,5.733084341,5.647367031,5.661007535,4.196072078,3.067568126
NES,9.424301694,9.477643933,8.870790958,6.667593801,4.971597767
NET1,4.651107459,4.569252029,5.595174837,3.93378058,3.65072808
NETO1,2.449615662,2.944844501,3.353771362,1.194987524,0.885448208
NETO2,5.01219627,4.952654449,4.766309765,2.983415323,2.575306703
NEU2,0,0.026932565,0.013425633,1.111335188,0
NEU3,3.277349717,3.249888186,3.479488299,2.729076562,2.008431502
NEU4,5.629340423,5.649898136,5.838895271,4.508363144,4.703514867
NEURL1B,4.767119673,4.960213628,4.917892616,2.885290411,2.864812444
NEURL3,2.056602983,2.298823512,1.434595775,1.322412493,0.375910493
NEUROD2,1.680095662,2.368997213,3.338144843,0.783083651,0.474918639
NEUROD4,0.2662843,0.324105704,0.165497009,0.031888493,1.022876087
NEUROD6,0.59259689,0.924948249,1.934272237,0.141745173,0
NEUROG2,0.252152861,0.424435791,0.526269689,0.062115642,0.146912071
NEUROG3,0.250470965,0.202792154,0.343940959,0.154403189,0.545993696
NEXMIF,1.70149039,2.088650314,2.067603157,0.673496129,1.240134967
NEXN,3.763028899,3.808013635,3.487552115,1.785079028,2.111791845
NF2,5.215745637,5.283907586,5.351447437,3.527706977,4.356545571
NFAM1,3.795231762,4.00987347,3.821413989,4.790554497,4.029647604
NFASC,6.157921069,6.199114762,6.405809307,4.737764293,4.610040997
NFAT5,4.977273415,4.930041546,5.045003194,3.168069656,2.45882181
NFATC1,3.769867682,3.870739395,3.734947393,2.72073074,3.289063877
NFATC4,4.236109208,4.330485995,3.93066694,1.653187195,1.284461691
NFE2,1.195475973,1.363833245,1.259997626,2.936284785,1.961267107
NFE2L3,4.383587012,4.304011308,3.948150293,3.133999571,1.967897486
NFIA,5.528469934,5.576121819,5.872607515,4.172077446,3.645672242
NFIB,6.539797436,6.302299675,6.369370203,3.577022898,2.785932323
NFIC,6.673361514,6.694739818,6.732147488,4.501974147,5.444372331
NFIL3,6.851410804,6.725981553,5.723893553,6.056661811,5.716763884
NFIX,8.20801274,8.043973878,8.456820973,5.610783192,5.004846982
NFKB1,5.254075253,5.244043,4.991310586,4.43965722,4.918768995
NFKB2,5.008432161,5.17426895,4.29025938,5.175213819,5.719127814
NFKBIA,8.160895722,8.283262273,7.821774368,10.55462057,11.27518448
NFKBID,3.403765671,3.633209075,3.680652554,5.236593553,6.240671831
NFKBIE,4.958552041,5.142732801,4.741313151,4.799469478,5.052187005
NFRKB,5.172512292,5.15294562,5.02899013,3.154114283,3.127941021
NFU1,6.452259877,6.354752734,6.504478625,5.734944462,4.548960856
NFX1,5.509565777,5.395643961,5.412174381,3.900742095,3.670882288
NFXL1,4.193231622,4.085480924,4.023550659,2.363378812,1.470986246
NFYB,5.621211047,5.483180607,5.77368446,3.99592739,2.998307254
NGDN,6.507234947,6.514519229,6.197710206,5.210491314,4.232447296
NGEF,4.044931416,4.492026267,5.505562313,1.641404371,2.028832953
NGF,0.739971779,1.215577299,0.965644565,0.151207644,0.454137712
NGLY1,6.146203242,6.021561048,5.672466779,4.401997251,3.420247906
NHEG1,0.034789168,0.02427912,0.013813717,0.021025933,0
NHLH1,2.104308318,1.949798749,1.896398585,2.05436171,1.09947364
NHLH2,1.21148524,1.442296096,1.825334011,0.607629775,1.359667016
NHLRC2,3.656155415,3.585520115,3.749871478,2.755760491,1.646129265
NHLRC3,5.876145448,5.814701151,5.698276206,3.669952982,4.811169461
NHP2,8.48144423,8.527237036,8.465177374,8.999883133,6.67794118
NIBAN1,4.890724612,4.956098781,4.100417711,3.991092266,4.958619001
NIBAN2,7.465507349,7.447344979,6.691712229,4.573086877,3.300202784
NIBAN3,0.658586127,0.743900037,0.768509514,1.424932291,2.206344941
NID1,5.972717015,6.230037685,5.597189462,3.657759523,2.91297024
NID2,3.809048131,4.127271974,3.458311185,2.14333205,2.494306714
NIF3L1,5.477572163,5.423368146,5.584185536,3.461803068,3.815426001
NIM1K,5.169239237,5.048438158,5.097570793,2.727328247,1.985224571
NIN,5.498793558,5.350673954,5.464135207,3.795468428,4.17261612
NINJ1,7.58850947,7.735692125,7.417024228,7.551187369,9.279271556
NINJ2,3.584987598,4.279755763,4.826524429,5.371623714,4.796151191
NINL,3.47832987,3.572130432,3.766268544,1.816841434,1.127220462
NIPA1,5.471874498,5.621259781,6.282038163,4.363105241,4.907396936
NIPA2,6.470713354,6.452759004,6.411978585,4.783773556,3.898483182
