Samples,Neftel,Garofano,ALA_sig_UCell,GPM_UCell,MTC_UCell,NEU_UCell,PPR_UCell,MES2_UCell,MES1_UCell,AC_UCell,OPC_UCell,NPC1_UCell,NPC2_UCell,Injury_UCell,Developmental_UCell
MGH152CD45neg_P1_C02,MES1,PPR,0.113575397,0.04103268,0.104281046,0.019153333,0.110529412,0.175666667,0.185627451,0.179516667,0.116627451,0.102431373,0.076143791,0.269912834,0.246130368
MGH152CD45neg_P1_C03,MES1,GPM,0.121206349,0.062392157,0.110392157,0,0.034496732,0.224875817,0.224339869,0.349316667,0.181098039,0.284431373,0.217222222,0.276691196,0.251387526
MGH152CD45neg_P1_C05,MES1,PPR,0.111185185,0.057156863,0.167915033,0,0.078666667,0.13020915,0.162261438,0.209116667,0.111751634,0.178424837,0.141895425,0.268810337,0.247977505
MGH152CD45neg_P1_C06,MES1,PPR,0.11357672,0.026091503,0.115705882,0,0.221947712,0.219339869,0.103856209,0.138133333,0.109568627,0.131359477,0.13903268,0.268847569,0.239435583
MGH152CD45neg_P1_C07,MES1,PPR,0.118650794,0.056352941,0.178732026,0.02096,0.066823529,0.180947712,0.206915033,0.46,0.210261438,0.174843137,0.095176471,0.266153307,0.258600204
MGH152CD45neg_P1_C10,MES1,PPR,0.117907407,0.03745098,0.176993464,0.03276,0.136385621,0.182823529,0.206457516,0.194866667,0.094496732,0.16424183,0.13645098,0.273475252,0.241337935
MGH152CD45neg_P1_D02,MES1,GPM,0.11503836,0.063895425,0.183071895,0.01778,0.030143791,0.137607843,0.322503268,0.552583333,0.221503268,0.173437908,0.091823529,0.272777486,0.268697853
MGH152CD45neg_P1_D03,MES1,PPR,0.115189153,0.065849673,0.153196078,0,0.032771242,0.195647059,0.139222222,0.385941667,0.252803922,0.223379085,0.10951634,0.269383268,0.256739775
MGH152CD45neg_P1_D04,MES1,PPR,0.10405291,0.050928105,0.125830065,0.017906667,0.157777778,0.18854902,0.079529412,0.13255,0.133137255,0.136019608,0.108470588,0.273034604,0.24166002
MGH152CD45neg_P1_D05,MES1,PPR,0.109748677,0.073019608,0.146013072,0.024266667,0.072745098,0.225947712,0.234222222,0.4343,0.272398693,0.21324183,0.108562092,0.269438458,0.257074131
MGH152CD45neg_P1_D06,MES1,GPM,0.103214286,0.051686275,0.079660131,0.031333333,0.03351634,0.126418301,0.292928105,0.396325,0.179764706,0.230196078,0.183189542,0.274156811,0.25283589
MGH152CD45neg_P1_E03,MES1,PPR,0.118488095,0.046379085,0.146575163,0.017586667,0.143986928,0.119071895,0.257581699,0.163683333,0.074960784,0.164562092,0.127830065,0.272251424,0.242754601
MGH152CD45neg_P1_E05,MES1,PPR,0.12162963,0.05227451,0.163098039,0.016573333,0.089947712,0.176705882,0.24530719,0.462208333,0.171071895,0.207026144,0.124875817,0.272703022,0.255267382
MGH152CD45neg_P1_E06,MES1,PPR,0.105468254,0.073019608,0.178575163,0.024093333,0.07269281,0.141281046,0.199137255,0.396925,0.239529412,0.195986928,0.124052288,0.272822602,0.252157464
MGH152CD45neg_P1_E07,MES1,GPM,0.10280291,0.041464052,0.141882353,0.021493333,0,0.302509804,0.226941176,0.288308333,0.190562092,0.187594771,0.167882353,0.275875164,0.261440184
MGH152CD45neg_P1_E10,MES1,PPR,0.116759259,0.053163399,0.209712418,0.02108,0.069647059,0.162522876,0.157215686,0.30935,0.201614379,0.190320261,0.114267974,0.267045992,0.253396217
MGH152CD45neg_P1_E11,MES1,PPR,0.115693122,0.049098039,0.158745098,0,0.038169935,0.117006536,0.199607843,0.219916667,0.14696732,0.172581699,0.103705882,0.26995795,0.245833845
MGH152CD45neg_P1_E12,MES1,PPR,0.107589947,0,0.106732026,0.019493333,0.136941176,0.176372549,0.186052288,0.2105,0.096418301,0.135882353,0.079333333,0.268424442,0.247343558
MGH152CD45neg_P1_F02,MES1,PPR,0.102228836,0.022026144,0.181196078,0.01808,0.042941176,0.198431373,0.072529412,0.267616667,0.279058824,0.324339869,0.129503268,0.264076216,0.254768405
MGH152CD45neg_P1_F03,MES1,PPR,0.122166667,0.045960784,0.180653595,0.01688,0.06654902,0.224934641,0.195535948,0.255666667,0.158928105,0.191065359,0.139130719,0.272671047,0.245989264
MGH152CD45neg_P1_F05,MES1,PPR,0.106767196,0.035411765,0.169124183,0.018666667,0.095810458,0.188980392,0.234797386,0.427366667,0.230614379,0.151803922,0.092954248,0.270229085,0.255075665
MGH152CD45neg_P1_F08,MES1,GPM,0.109794974,0.029732026,0.111176471,0,0.03069281,0.193777778,0.347150327,0.32215,0.194718954,0.157849673,0.188718954,0.274855891,0.259396728
MGH152CD45neg_P1_F09,MES1,PPR,0.129911376,0.066078431,0.149039216,0,0.073183007,0.200849673,0.226071895,0.460583333,0.212065359,0.16548366,0.062137255,0.275130092,0.264183027
MGH152CD45neg_P1_F11,MES1,GPM,0.121933862,0.081542484,0.084379085,0.022493333,0.033934641,0.156836601,0.217215686,0.4776,0.265124183,0.260705882,0.117189542,0.27395576,0.255838446
MGH152CD45neg_P1_F12,MES1,PPR,0.106866402,0.032888889,0.196026144,0,0.065333333,0.140405229,0.172281046,0.584883333,0.308888889,0.20227451,0.100830065,0.269315375,0.261983129
MGH152CD45neg_P1_G02,MES1,PPR,0.108578042,0.033647059,0.229810458,0,0.052771242,0.114869281,0.149908497,0.223066667,0.132366013,0.255248366,0.148588235,0.269762593,0.245453988
MGH152CD45neg_P1_G03,MES1,PPR,0.110304233,0.063856209,0.125751634,0.02468,0.084431373,0.15675817,0.132542484,0.318925,0.174006536,0.236738562,0.155287582,0.269856329,0.26298773
MGH152CD45neg_P1_G04,MES1,PPR,0.117305556,0.042915033,0.198712418,0.016946667,0,0.224300654,0.188039216,0.346591667,0.265137255,0.202065359,0.134627451,0.273434516,0.243631902
MGH152CD45neg_P1_G05,MES1,PPR,0.100748677,0.031647059,0.161,0.018173333,0.139437908,0.174954248,0.213294118,0.365033333,0.174379085,0.15124183,0.072392157,0.268654402,0.250199898
MGH152CD45neg_P1_G08,MES1,PPR,0.129808201,0.045607843,0.099,0,0.02820915,0.178222222,0.145019608,0.424758333,0.210738562,0.264464052,0.112993464,0.273551467,0.273336401
MGH152CD45neg_P1_G12,MES1,GPM,0.120546296,0.022849673,0.103915033,0.02528,0.039137255,0.233732026,0.238418301,0.384216667,0.213732026,0.185385621,0.118647059,0.27230749,0.262521472
MGH152CD45neg_P1_H01,MES1,MTC,0.120058201,0.053333333,0.261712418,0,0.053535948,0.103973856,0.17279085,0.151358333,0.187183007,0.17703268,0.107503268,0.273561104,0.235977505
MGH152CD45neg_P1_H02,MES1,MTC,0.120029101,0.058098039,0.253895425,0.02512,0.041084967,0.122941176,0.219699346,0.312683333,0.177,0.177816993,0.077686275,0.271276829,0.241576176
MGH152CD45neg_P1_H05,MES1,PPR,0.115047619,0.028666667,0.263660131,0.031173333,0.034823529,0.099267974,0.264287582,0.331741667,0.157856209,0.121575163,0.081751634,0.274490145,0.250965746
MGH152CD45neg_P1_H06,MES1,PPR,0.122846561,0.034333333,0.196810458,0,0.071372549,0.134130719,0.112947712,0.152816667,0.134718954,0.254202614,0.119294118,0.273727989,0.236453476
MGH152CD45neg_P1_H08,MES1,PPR,0.115603175,0.051163399,0.119385621,0.03168,0.124614379,0.214568627,0.130222222,0.37985,0.236496732,0.220326797,0.085477124,0.268805957,0.248505624
MGH152CD45neg_P1_H09,MES1,PPR,0.115833333,0.018816993,0.130732026,0,0.188300654,0.142405229,0.167980392,0.212983333,0.133261438,0.154509804,0.131372549,0.267936487,0.246190184
MGH152CD45neg_P1_H10,MES1,PPR,0.127978836,0.081372549,0.160908497,0.029386667,0.051594771,0.168640523,0.306771242,0.481191667,0.197150327,0.178104575,0.142457516,0.276627683,0.251115542
MGH152CD45neg_P1_H11,MES1,PPR,0.111039683,0,0.113895425,0,0.053477124,0.228281046,0.207503268,0.511725,0.26279085,0.227372549,0.141098039,0.26818353,0.255896217
MGH152CD45neg_P1_H12,MES1,PPR,0.100519841,0.050294118,0.167490196,0.016973333,0.064915033,0.107712418,0.168117647,0.23625,0.198875817,0.198026144,0.089869281,0.264844503,0.246517894
MGH152CD45neg_P2_A01,MES1,PPR,0.112436508,0.047882353,0.184980392,0,0.050392157,0.123830065,0.173398693,0.238116667,0.151522876,0.181771242,0.127823529,0.267763907,0.249764826
MGH152CD45neg_P2_A02,MES1,PPR,0.108784392,0.05703268,0.190732026,0.031253333,0.055117647,0.210104575,0.076411765,0.147083333,0.115908497,0.158183007,0.153529412,0.266193605,0.250456033
MGH152CD45neg_P2_A03,MES1,PPR,0.105939153,0.044065359,0.143045752,0,0.083437908,0.226529412,0.15751634,0.2235,0.192352941,0.193490196,0.100509804,0.270409549,0.250379346
MGH152CD45neg_P2_A05,MES1,PPR,0.112123016,0.04724183,0.197673203,0.024586667,0.031830065,0.177771242,0.137385621,0.3693,0.18675817,0.21572549,0.107444444,0.269494963,0.259548057
MGH152CD45neg_P2_A06,MES1,PPR,0.121287037,0.04469281,0.124496732,0.01644,0.093699346,0.172784314,0.118222222,0.325625,0.26675817,0.246856209,0.119673203,0.269474376,0.262760736
MGH152CD45neg_P2_A07,MES1,PPR,0.116308201,0.052235294,0.14854902,0.023066667,0.085339869,0.137673203,0.173254902,0.389425,0.191071895,0.217490196,0.124529412,0.271877354,0.259658998
MGH152CD45neg_P2_A08,MES1,PPR,0.101396825,0.023267974,0.125267974,0,0.157346405,0.102928105,0.130862745,0.1476,0.126248366,0.188679739,0.135418301,0.263328077,0.251854294
MGH152CD45neg_P2_A09,MES1,PPR,0.105047619,0.02524183,0.116575163,0.026546667,0.042535948,0.136496732,0.097019608,0.357258333,0.21854902,0.264660131,0.140196078,0.265472624,0.264392127
MGH152CD45neg_P2_B01,MES1,GPM,0.131473545,0.061424837,0.169,0.024746667,0.035594771,0.232392157,0.233294118,0.44565,0.243699346,0.279006536,0.136784314,0.271587823,0.262153374
MGH152CD45neg_P2_B02,MES1,PPR,0.110900794,0.017464052,0.116235294,0,0.105607843,0.145712418,0.130183007,0.3537,0.240562092,0.260248366,0.111346405,0.269410425,0.254702965
MGH152CD45neg_P2_B03,MES1,GPM,0.103752646,0.022849673,0.114418301,0.02884,0.04724183,0.141045752,0.094562092,0.41325,0.251346405,0.185699346,0.075673203,0.26834297,0.262443763
MGH152CD45neg_P2_B04,MES1,PPR,0.102088624,0.06703268,0.122065359,0,0.129875817,0.174326797,0.174679739,0.352183333,0.240856209,0.187267974,0.112875817,0.270752081,0.255508691
MGH152CD45neg_P2_B06,MES1,PPR,0.112896825,0.034470588,0.151875817,0.021626667,0.052248366,0.20048366,0.214601307,0.316066667,0.194496732,0.192065359,0.156176471,0.270155935,0.254832822
MGH152CD45neg_P2_B08,MES1,PPR,0.102050265,0.025464052,0.151,0,0.23345098,0.228457516,0.205372549,0.11625,0.153464052,0.190810458,0.137738562,0.267316689,0.237865542
MGH152CD45neg_P2_B09,MES1,PPR,0.095082011,0.044366013,0.174601307,0,0.056104575,0.166797386,0.192281046,0.230825,0.175699346,0.210294118,0.135849673,0.272366623,0.242412065
MGH152CD45neg_P2_B12,MES1,GPM,0.118722222,0.070888889,0.199607843,0.02416,0,0.211777778,0.237111111,0.4427,0.196163399,0.114045752,0.111163399,0.274750767,0.257671268
MGH152CD45neg_P2_C02,MES1,PPR,0.109044974,0.029006536,0.133320261,0,0.140679739,0.210300654,0.232679739,0.389416667,0.207830065,0.143960784,0.123777778,0.268057381,0.252132924
